"parameter","perturbation_pct","arm","V_peak","V_AUC","K_peak","L_peak","C_pro_max","mortality_prob","S_V_peak","S_V_AUC","S_K_peak","S_L_peak","S_C_pro_max","S_mortality"
"delta_NK",50,"placebo",34182540.5188427,392924568.178835,53.0438284391628,183.400082944105,0.376377203676828,0.0958367974180334,-2.41372654273024e-06,-1.55095714394707e-05,-6.24815483110918e-06,-6.75328893313322e-06,-2.1636026545477e-06,-2.45333784925109e-06
"delta_CD8",50,"placebo",34006590.5713083,367397786.896025,52.160589978316,180.046930082676,0.374648860660114,0.0950697182245665,-0.0102971274907172,-0.129946724849751,-0.0333083580338141,-0.0365731657484782,-0.00918625408478965,-0.0160104643144418
"k_CC",50,"placebo",34182581.774614,392927615.460045,53.0439941625269,183.400702256785,0.376377864891183,0.0958369150384565,1.21048622595002e-10,1.07780954426211e-09,3.70256514411956e-10,3.67644096813703e-10,1.34996635610507e-06,1.25750474631086e-09
"K_CC",50,"placebo",34182581.7735566,392927615.256069,53.0439941538907,183.400702227831,0.376377328614172,0.0958369149229132,5.91812156254498e-11,3.95717293989419e-11,4.46300830680425e-11,5.19008801304378e-11,-1.49970905328537e-06,-1.15374351180611e-09
"d_C",50,"placebo",34182581.7543161,392927615.22222,53.0439736085204,183.400650435144,0.251374314593331,0.0958080968982834,-1.06657097450807e-09,-1.32717123713297e-10,-7.7460933932056e-07,-5.64751680780973e-07,-0.664244060476609,-0.000601398321763112
"k_CD8_I",50,"placebo",33767811.693664,330237086.118525,51.1902558987802,176.372161364506,0.37208620066385,0.0940097324823649,-0.0242679199389391,-0.319094544119303,-0.0698943691378198,-0.0766468260303263,-0.0228037484438538,-0.0381310791619192
"k_neut_IgG",50,"placebo",34177703.0898669,392758955.525654,53.031804042031,183.356236315098,0.376377519308669,0.0958289361451753,-0.000285448460900091,-0.000858477317933073,-0.000459622653636253,-0.000484904446216243,-4.86394280036899e-07,-0.000166508553105526
"k_KP",50,"placebo",34182581.7725451,392927615.248294,79.468949901017,183.400702223071,0.376377610842627,0.105383890678007,0,0,0.996341100266164,0,0,0.199233785895129
"k_LP",50,"placebo",34182581.7750032,392927615.075939,53.0439941549323,229.292440977856,0.376377610880491,0.0966997424051698,1.43821526816995e-10,-8.77289886337973e-10,8.39044382888616e-11,0.500453250162219,2.01200661648617e-10,0.018006160301952
"d_K",50,"placebo",34182581.7725451,392927615.248294,36.0267483829399,183.400702223071,0.376377610842627,0.0853015045534063,0,0,-0.641627616531916,0,0,-0.219861217928168
"d_L",50,"placebo",34182581.7746795,392927615.057595,53.043994151952,126.0281977639,0.376377610874396,0.0942113303055391,1.24882177719968e-10,-9.70659180557233e-10,-2.84656493033451e-11,-0.625651960583977,1.68815264015451e-10,-0.0339239774783979
"EC50_RBV",50,"placebo",34182581.7725451,392927615.248294,53.043994152707,183.400702223071,0.376377610842627,0.0958369149781989,0,0,0,0,0,0
"Emax_RBV",50,"placebo",34182581.7725451,392927615.248294,53.043994152707,183.400702223071,0.376377610842627,0.0958369149781989,0,0,0,0,0,0
"CL_RBV",50,"placebo",34182581.7725451,392927615.248294,53.043994152707,183.400702223071,0.376377610842627,0.0958369149781989,0,0,0,0,0,0
"beta",-10,"ribavirin",32959714.396399,158841194.601765,13.8072977987079,48.7249040449448,0.371281366783011,0.0449374234666926,0.357745761944858,0.789226786418071,3.52025618293521,2.57879474851713,0.135402423332431,1.98704060662914
"p",-10,"ribavirin",29945397.1819049,144467391.077019,13.2331900480091,45.5600115296199,0.373202895076198,0.0432558856360129,1.23957418396158,1.62272495302998,3.7896840754999,3.06083401397043,0.084349219373655,2.28688188181129
"c",-10,"ribavirin",37838695.5866435,198781475.83571,27.6003241926626,83.7676976376319,0.376309206400807,0.0641668255975089,-1.06958387123202,-1.52680258779357,-2.95279008562603,-2.75851209557222,0.00181744184164066,-1.44182572673411
"delta_natural",-10,"ribavirin",34371864.7244914,176084762.730266,21.4552175275926,66.0870236720647,0.378306398507997,0.0563888248997427,-0.0553740946794933,-0.210681303059459,-0.0689008917595059,-0.0655994453596897,-0.0512460786669005,-0.0549014452606686
"delta_NK",-10,"ribavirin",34182590.0232935,172452049.96573,21.3084031365158,65.656330870306,0.376377692275858,0.0560809527305152,-2.41372883527816e-06,-3.00704990694759e-05,-1.12174621459124e-06,-1.37503328707269e-06,-2.16360453885337e-06,-3.61178345125128e-06
"delta_CD8",-10,"ribavirin",34218138.1778505,174169505.129912,21.3197131570003,65.697472664891,0.376724565066189,0.0561500190285887,-0.0104019074808085,-0.0996206714224389,-0.00530889712509578,-0.00626761009343769,-0.00921824820517448,-0.0123190807004371
"k_CC",-10,"ribavirin",34182581.7721769,172451531.344713,21.3084007213124,65.6563217817709,0.376377560033871,0.0560809324354549,1.07733186923854e-10,2.93740625156822e-09,1.17050927555616e-08,9.22566866958005e-09,1.34994099349227e-06,7.10436020430869e-09
