"arm","start_day","duration_days","V_peak","t_V_peak","K_peak","t_K_peak","L_peak","T_end_frac","mortality_prob","rebound","placebo_mortality","placebo_K_peak","RRR"
"favipiravir",2,35,30569299.1990995,2,17.4387962047571,3.4,55.5267174307275,0.991565575230064,0.0516075778474212,FALSE,0.0962672365568919,53.043994152707,46.391337600179
"favipiravir",3,10,34182581.7725451,3,29.5080917782262,4.1,94.7366612534003,0.00615103604472057,0.0719317572601009,FALSE,0.0962672365568919,53.043994152707,25.2790878466832
"favipiravir",3,15,34182581.7725451,3,29.5080917782262,4.1,94.7366612534003,0.021448983842875,0.0688953555718329,FALSE,0.0962672365568919,53.043994152707,28.4332260528563
"favipiravir",3,21,34182581.7725451,3,29.5080917782262,4.1,94.7366612534003,0.110389841281013,0.0685564501023534,FALSE,0.0962672365568919,53.043994152707,28.785272586652
"favipiravir",3,28,34182581.7725451,3,29.5080917782262,4.1,94.7366612534003,0.503307642079941,0.0685564501021471,FALSE,0.0962672365568919,53.043994152707,28.7852725868663
"favipiravir",3,35,34182581.7725451,3,29.5080917782262,4.1,94.7366612534003,0.892182503769409,0.0685564501021467,FALSE,0.0962672365568919,53.043994152707,28.7852725868667
"favipiravir",4,10,34182581.7725451,3,39.2327250629368,4.9,127.578162980535,0.000318959398072235,0.0804372648897623,FALSE,0.0962672365568919,53.043994152707,16.4437790397924
"favipiravir",4,15,34182581.7725451,3,39.2327250629368,4.9,127.578162980535,0.00117505101179082,0.0787357070281255,FALSE,0.0962672365568919,53.043994152707,18.2113148312984
"favipiravir",4,21,34182581.7725451,3,39.2327250629368,4.9,127.578162980535,0.00681086321098961,0.0786655427924685,FALSE,0.0962672365568919,53.043994152707,18.2841996861738
"favipiravir",4,28,34182581.7725451,3,39.2327250629368,4.9,127.578162980535,0.0530303702476959,0.0786655427924876,FALSE,0.0962672365568919,53.043994152707,18.2841996861539
"favipiravir",4,35,34182581.7725451,3,39.2327250629368,4.9,127.578162980535,0.313802381153151,0.0786655427924874,FALSE,0.0962672365568919,53.043994152707,18.2841996861541
