"time","C_pro","P","PLT","treatment_day","arm"
11.5,0.206097687912364,13.0307180222833,136.413731998286,3,"favipiravir"
12,0.195453861828409,11.8679170276446,140.275947822336,3,"favipiravir"
12.5,0.184855669662951,10.8777408925403,144.052151298294,3,"favipiravir"
13,0.17431855218867,10.0223353344862,147.733712140622,3,"favipiravir"
13.5,0.163857085179645,9.27235669449021,151.315441574586,3,"favipiravir"
14,0.153484941180922,8.60507603882717,154.794800753787,3,"favipiravir"
14.5,0.143214860996824,8.00290535895824,158.171267115021,3,"favipiravir"
15,0.133058633303597,7.45225114394687,161.445827754725,3,"favipiravir"
15.5,0.123027080828468,6.94262221670973,164.620575691241,3,"favipiravir"
16,0.113130051579242,6.46593524343932,167.698389739974,3,"favipiravir"
16.5,0.103376413670864,6.01597402115864,170.682682376805,3,"favipiravir"
17,0.0937740524051018,5.58796844670138,173.577202808561,3,"favipiravir"
17.5,0.0843298684731632,5.17826665511661,176.385884749682,3,"favipiravir"
18,0.0750497765880932,4.78407969972818,179.112730268762,3,"favipiravir"
18.5,0.0659442301876779,4.46837764754789,181.758363135069,3,"favipiravir"
19,0.057047410764394,4.38357993079073,184.300708097747,3,"favipiravir"
19.5,0.048407018469876,4.64173466860377,186.693957022302,3,"favipiravir"
20,0.0400820891813175,5.32496799524687,188.874674690693,3,"favipiravir"
20.5,0.0321296004903407,6.42249337942434,190.772484694429,3,"favipiravir"
21,0.0245638189170866,7.72658357251732,192.338206334788,3,"favipiravir"
0,0.0394620415268602,6.345027023202,248.397468750573,4,"favipiravir"
0.5,0.09232752936646,15.7199265145483,245.964099865072,4,"favipiravir"
1,0.184474873601713,35.8713166465112,240.29394380649,4,"favipiravir"
1.5,0.288714486859763,70.7087330059199,228.82315761938,4,"favipiravir"
2,0.354311611317968,116.159619163564,209.946335351102,4,"favipiravir"
2.5,0.375134824792166,162.174374096385,185.045795248604,4,"favipiravir"
3,0.374733058246063,201.568024317873,157.763963463123,4,"favipiravir"
3.5,0.367869554090796,232.285920021856,131.65670967124,4,"favipiravir"
4,0.359297093069886,254.948982517125,108.906120009065,4,"favipiravir"
4.5,0.350171148435509,239.16552276868,91.3309808570019,4,"favipiravir"
5,0.340759986521492,197.269953860818,80.8199035778927,4,"favipiravir"
5.5,0.331133788914782,157.753022986892,75.6293562033759,4,"favipiravir"
6,0.321315480263674,125.521190731679,73.8877546244891,4,"favipiravir"
6.5,0.311322427889184,100.163291220755,74.3793499980359,4,"favipiravir"
7,0.301172079532388,80.3852274349154,76.3552921943883,4,"favipiravir"
7.5,0.290882557943006,64.9682313264067,79.3418883210883,4,"favipiravir"
