"time","T","I","V","NSs","F_I","NK","F_II","C_pro","C_anti","P","PLT","K","L","CD8_N","CD8_E","CD4","IgM","IgG","C_RBV","C_FAV_gut","C_FAV","C_FAVI_RTP","Hgb_drop","arm","sample_id"
12,0.00521692915791026,-2.00040308582165e-11,0.0110458125496738,165.617668358424,1.34298029148402e-15,0.00834077762780095,0.000689602928006712,2.57678173256236e-07,1.24209979662933e-05,0.149221830347463,21344.2929443849,0.23490483508222,0.213921766700805,24.8296487157941,57.4218418974706,0.558855695748508,0.374888563389319,0.0759029195459191,168.012328634278,0,0,0,6.01080500589454,"ribavirin",18
12.3333333333333,0.00563856047234068,-1.00307689826542e-13,0.00448961130082415,123.48669769794,4.00827643178389e-16,0.0067599909484743,0.000558938777522905,2.09230010813383e-07,1.03886293246378e-05,0.146806776535135,21682.8424442035,0.233539309870672,0.181152814556257,23.4932785557146,56.5035913579487,0.538375673406732,0.371925474889787,0.076579635160437,164.85400741731,0,0,0,6.14610622338727,"ribavirin",18
12.5,0.00585998102348066,-3.19440976335645e-12,0.00286228217250231,106.629392305554,2.18220234746686e-16,0.00608577513138223,0.000503203459294241,1.88226187672579e-07,9.50077331614183e-06,0.145613294077343,21848.0906606185,0.232940992103659,0.166802802625789,22.8523125106551,56.0363886141137,0.528418849599072,0.370452724747896,0.0769059052216587,170.886232491262,0,0,0,6.21404431400987,"ribavirin",18
12.6666666666667,0.006088786767381,1.1846152598507e-11,0.00182479869351835,92.0732960241603,1.19516626439269e-16,0.00547880302925597,0.000453024140354241,1.69865997917246e-07,8.68879495652332e-06,0.144423736649606,22010.7127273815,0.232396227408094,0.153661402797852,22.2288339094298,55.5643854789578,0.518646169178278,0.368985806399346,0.0772243087745976,162.015088028039,0,0,0,6.27575012828699,"ribavirin",18
13,0.00656954735172466,-3.487648889253e-12,0.000741680267652321,68.6510540941143,3.88040511374385e-17,0.00444043239713587,0.000367174861251423,1.37889133623472e-07,7.26708763367259e-06,0.142045594576006,22328.2493908819,0.231427995533126,0.130592682582557,21.0324436378547,54.6076321636607,0.499639679349268,0.366069372809315,0.0778380804012192,159.463269398791,0,0,0,6.40019702376874,"ribavirin",18
13.5,0.00735250810641983,3.1390604692558e-14,0.000192181457850445,44.199513542573,8.93115142752909e-18,0.00323992252393108,0.000267912904384766,1.01163449668658e-07,5.55854170841857e-06,0.138456686986007,22785.9103951048,0.230231313821931,0.102750702214606,19.3575020113599,53.1464263912301,0.472427903302657,0.361737886528455,0.0787032126538104,149.010442395504,0,0,0,6.570990160541,"ribavirin",18
14,0.00821645488166016,1.80677521618764e-16,4.9796389836945e-05,28.4569108652337,1.45010862303399e-18,0.00236398099855313,0.000195483191531219,7.5020084234805e-08,4.25168028694245e-06,0.134825093173909,23222.16360648,0.229291418053213,0.0813453889734564,17.8159461823641,51.6624038412726,0.446698156688636,0.357457652206362,0.0795049109414509,126.98775985372,0,0,0,6.69328475108915,"ribavirin",18
14.5,0.00916976451813223,5.64207472074098e-14,1.2902697603306e-05,18.3213732002461,6.27874989149872e-19,0.00172485796370841,0.00014263379220927,5.58144999548761e-08,3.25206885129486e-06,0.131149739733492,23638.0472891602,0.228540254193887,0.064876204635201,16.3971538366011,50.1640902140704,0.422369724129396,0.35322806341114,0.0802466281364685,108.219873006829,0,0,0,6.77473287582469,"ribavirin",18
15,0.010221680317674,2.49965322632478e-12,3.34319421239574e-06,11.7958242559589,3.47387785611429e-17,0.00125852745887828,0.000104071990035054,4.16443798154388e-08,2.48747279824085e-06,0.127439276280896,24034.5490393039,0.227932135130902,0.0521929236471572,15.0913485699356,48.6590088970004,0.399366286137368,0.349048520883682,0.0809316639872192,92.2257462243241,0,0,0,6.8218456097318,"ribavirin",18
15.5,0.0113824016685814,-5.79344489427126e-13,8.66233788086729e-07,7.59448913887732,3.99769516398704e-17,0.000918273503077951,7.59354189028882e-05,3.1168052526047e-08,1.90263944104632e-06,0.123706464961777,24412.6074698654,0.227436885955784,0.0424140272751824,13.8895325328304,47.1537763673905,0.377615679797854,0.344918432455567,0.0815631684352252,78.5954375135143,0,0,0,6.84016186032539,"ribavirin",18
16,0.0126631829390293,-3.99747190698241e-13,2.24439123260054e-07,4.88954938776409,3.31527320755144e-17,0.000670010193646772,5.54056964587988e-05,2.34064951071579e-08,1.4553058272708e-06,0.119965278228405,24773.1142268512,0.227035149115629,0.0348640666843705,12.7834244293368,45.6541892503515,0.357049672390593,0.34083721296516,0.0821441452512308,66.9795913921145,0,0,0,6.8343922526984,"ribavirin",18
